timestamp,node_id,gpu_id,temp_c,power_w,gpu_util,ecc_errors,xid_errors,pcie_replay,nvlink_crc,ib_crc,packet_drops,nccl_latency_ms,throttle_flag,job_id
t0000,gpu-node-00,0,72.72,318.55,56.84,0,0,0,0,0,0,10.26,0,train-job-001
t0000,gpu-node-00,1,69.64,333.34,70.22,0,0,0,0,0,0,13.85,0,train-job-001
t0000,gpu-node-00,2,77.49,350.42,55.79,0,0,0,0,0,0,11.06,0,train-job-001
t0000,gpu-node-00,3,77.71,349.67,82.74,0,0,0,0,0,0,12.21,0,train-job-001
t0000,gpu-node-01,0,69.72,335.91,74.75,0,0,0,0,0,0,16.05,0,train-job-001
t0000,gpu-node-01,1,69.93,278.05,54.6,0,0,0,0,0,0,13.13,0,train-job-001
t0000,gpu-node-01,2,75.0,349.4,86.37,0,0,0,0,0,0,12.35,0,train-job-001
t0000,gpu-node-01,3,72.52,334.36,69.07,0,0,0,0,0,0,12.88,0,train-job-001
t0000,gpu-node-02,0,71.76,327.1,76.49,0,0,0,0,0,0,10.1,0,train-job-001
t0000,gpu-node-02,1,73.14,326.33,76.38,0,0,0,0,0,0,14.29,0,train-job-001
t0000,gpu-node-02,2,74.28,312.68,65.71,0,0,0,0,0,0,12.4,0,train-job-001
t0000,gpu-node-02,3,71.3,330.53,80.3,0,0,0,0,0,0,11.76,0,train-job-001
t0000,gpu-node-03,0,74.96,340.12,73.85,0,0,0,0,0,0,10.4,0,train-job-001
t0000,gpu-node-03,1,73.14,348.3,64.57,0,0,0,0,0,0,14.46,0,train-job-001
t0000,gpu-node-03,2,72.7,376.04,61.48,0,0,0,0,0,0,15.21,0,train-job-001
t0000,gpu-node-03,3,74.86,325.71,64.82,0,0,0,0,0,0,10.7,0,train-job-001
t0000,gpu-node-04,0,76.24,322.58,77.7,0,0,0,0,0,0,12.14,0,train-job-001
t0000,gpu-node-04,1,76.26,357.09,78.56,0,0,0,0,0,0,11.18,0,train-job-001
t0000,gpu-node-04,2,72.31,350.78,79.28,0,0,0,0,0,0,10.91,0,train-job-001
t0000,gpu-node-04,3,80.79,327.04,68.13,0,0,0,0,0,0,11.25,0,train-job-001
t0000,gpu-node-05,0,76.56,352.41,82.38,0,0,0,0,0,0,13.38,0,train-job-001
t0000,gpu-node-05,1,72.21,328.11,75.3,0,0,0,0,0,0,11.77,0,train-job-001
t0000,gpu-node-05,2,78.7,345.75,83.18,0,0,0,0,0,0,12.83,0,train-job-001
t0000,gpu-node-05,3,74.0,286.03,69.53,0,0,0,0,0,0,11.45,0,train-job-001
t0000,gpu-node-06,0,74.19,334.23,67.16,0,0,0,0,0,0,14.13,0,train-job-001
t0000,gpu-node-06,1,75.03,312.35,72.99,0,0,0,0,0,0,12.14,0,train-job-001
t0000,gpu-node-06,2,77.05,310.15,70.37,0,0,0,0,0,0,10.54,0,train-job-001
t0000,gpu-node-06,3,75.67,339.71,84.66,0,0,0,0,0,0,11.91,0,train-job-001
t0000,gpu-node-07,0,78.33,329.88,76.99,0,0,0,0,0,0,13.68,0,train-job-001
t0000,gpu-node-07,1,76.12,321.55,79.64,0,0,0,0,0,0,11.19,0,train-job-001
t0000,gpu-node-07,2,75.41,332.67,70.86,0,0,0,0,0,0,15.18,0,train-job-001
t0000,gpu-node-07,3,77.39,306.83,75.03,0,0,0,0,0,0,12.18,0,train-job-001
t0000,gpu-node-08,0,78.22,353.79,79.64,0,0,0,0,0,0,11.25,0,train-job-001
t0000,gpu-node-08,1,76.5,336.28,57.37,0,0,0,0,0,0,11.34,0,train-job-001
t0000,gpu-node-08,2,70.2,315.11,67.54,0,0,0,0,0,0,9.65,0,train-job-001
t0000,gpu-node-08,3,77.72,364.7,71.44,0,0,0,0,0,0,15.21,0,train-job-001
t0000,gpu-node-09,0,76.29,348.83,81.83,0,0,0,0,0,0,14.43,0,train-job-001
t0000,gpu-node-09,1,75.64,289.83,65.63,0,0,0,0,0,0,16.36,0,train-job-001
t0000,gpu-node-09,2,71.92,321.97,56.83,0,0,0,0,0,0,11.42,0,train-job-001
t0000,gpu-node-09,3,74.34,342.55,64.0,0,0,0,0,0,0,11.61,0,train-job-001
t0000,gpu-node-10,0,74.33,309.54,71.4,0,0,0,0,0,0,8.78,0,train-job-001
t0000,gpu-node-10,1,74.21,330.35,70.26,0,0,0,0,0,0,11.6,0,train-job-001
t0000,gpu-node-10,2,75.56,339.12,66.6,0,0,0,0,0,0,11.06,0,train-job-001
t0000,gpu-node-10,3,74.56,322.01,70.17,0,0,0,0,0,0,11.37,0,train-job-001
t0000,gpu-node-11,0,73.07,301.68,74.4,0,0,0,0,0,0,12.61,0,train-job-001
t0000,gpu-node-11,1,74.29,335.01,69.88,0,0,0,0,0,0,11.26,0,train-job-001
t0000,gpu-node-11,2,72.81,338.74,71.67,0,0,0,0,0,0,12.56,0,train-job-001
t0000,gpu-node-11,3,73.69,328.11,74.38,0,0,0,0,0,0,12.23,0,train-job-001
t0001,gpu-node-00,0,75.11,337.85,67.5,0,0,0,0,0,0,12.63,0,train-job-001
t0001,gpu-node-00,1,77.07,352.1,81.94,0,0,0,0,0,0,12.66,0,train-job-001
t0001,gpu-node-00,2,74.38,325.7,65.74,0,0,0,0,0,0,10.92,0,train-job-001
t0001,gpu-node-00,3,69.6,360.1,83.83,0,0,0,0,0,0,10.29,0,train-job-001
t0001,gpu-node-01,0,76.39,322.95,68.5,0,0,0,0,0,0,11.81,0,train-job-001
t0001,gpu-node-01,1,74.86,324.44,67.11,0,0,0,0,0,0,9.71,0,train-job-001
t0001,gpu-node-01,2,78.03,340.86,67.26,0,0,0,0,0,0,7.22,0,train-job-001
t0001,gpu-node-01,3,77.88,347.93,91.36,0,0,0,0,0,0,9.24,0,train-job-001
t0001,gpu-node-02,0,74.0,347.23,69.98,0,0,0,0,0,0,11.49,0,train-job-001
